True
global_step=126, episodic_return=[-42.324677]
/Tmp/slurm.4496784.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:135: UserWarning: [33mWARN: The obs returned by the `reset()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/Tmp/slurm.4496784.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:159: UserWarning: [33mWARN: The obs returned by the `reset()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
/Tmp/slurm.4496784.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:135: UserWarning: [33mWARN: The obs returned by the `step()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/Tmp/slurm.4496784.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:159: UserWarning: [33mWARN: The obs returned by the `step()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
global_step=314730, episodic_return=[431.2703]
global_step=315730, episodic_return=[2613.5728]
global_step=316730, episodic_return=[2663.631]
global_step=317121, episodic_return=[1037.312]
global_step=317619, episodic_return=[1421.4897]
global_step=318184, episodic_return=[1296.3475]
global_step=319184, episodic_return=[2470.262]
global_step=320184, episodic_return=[704.1512]
global_step=320506, episodic_return=[841.9273]
global_step=321506, episodic_return=[2499.0205]
global_step=321620, episodic_return=[211.18864]
global_step=322620, episodic_return=[2511.1863]
global_step=322735, episodic_return=[279.98877]
global_step=322871, episodic_return=[376.50076]
global_step=323412, episodic_return=[1422.4196]
global_step=324412, episodic_return=[1523.5333]
global_step=324635, episodic_return=[556.02094]
global_step=325635, episodic_return=[2576.0413]
global_step=326635, episodic_return=[2777.2598]
global_step=327635, episodic_return=[2573.0173]
global_step=328635, episodic_return=[516.1789]
global_step=328696, episodic_return=[129.31882]
global_step=329696, episodic_return=[2517.2368]
global_step=330178, episodic_return=[1152.8639]
global_step=331178, episodic_return=[2785.0298]
global_step=332178, episodic_return=[2822.037]
global_step=332754, episodic_return=[1325.6849]
global_step=332997, episodic_return=[660.71]
global_step=333997, episodic_return=[977.8918]
global_step=334997, episodic_return=[2456.092]
global_step=335997, episodic_return=[2769.6914]
global_step=336059, episodic_return=[192.89117]
global_step=336619, episodic_return=[1514.3947]
global_step=337619, episodic_return=[2591.8003]
global_step=338427, episodic_return=[2159.1375]
global_step=338518, episodic_return=[213.67061]
global_step=339483, episodic_return=[2593.2896]
global_step=340483, episodic_return=[961.7441]
global_step=341483, episodic_return=[2927.1975]
global_step=342483, episodic_return=[580.3745]
global_step=343095, episodic_return=[1589.2151]
global_step=344095, episodic_return=[2569.1663]
global_step=344208, episodic_return=[242.59082]
global_step=345208, episodic_return=[2762.5554]
global_step=346208, episodic_return=[1805.7435]
global_step=347208, episodic_return=[2700.072]
global_step=347685, episodic_return=[1368.6963]
global_step=348685, episodic_return=[657.9526]
global_step=348795, episodic_return=[299.61136]
global_step=348849, episodic_return=[117.1537]
global_step=348962, episodic_return=[294.1796]
global_step=349962, episodic_return=[858.9729]
global_step=350662, episodic_return=[1780.0042]
global_step=351521, episodic_return=[2267.434]
global_step=351766, episodic_return=[623.91565]
global_step=352001, episodic_return=[604.4047]
global_step=352107, episodic_return=[278.91608]
global_step=352352, episodic_return=[612.3015]
global_step=352833, episodic_return=[1470.2167]
global_step=352993, episodic_return=[378.3346]
global_step=353443, episodic_return=[1200.0114]
global_step=353875, episodic_return=[1104.2224]
global_step=354875, episodic_return=[1508.6423]
global_step=355366, episodic_return=[1178.8496]
global_step=356049, episodic_return=[1741.5354]
global_step=356177, episodic_return=[352.27225]
global_step=357177, episodic_return=[745.76624]
global_step=357965, episodic_return=[2132.01]
global_step=358965, episodic_return=[1151.9003]
global_step=359965, episodic_return=[2600.2783]
global_step=360929, episodic_return=[2727.431]
global_step=361806, episodic_return=[2663.6438]
global_step=362806, episodic_return=[2917.5198]
global_step=363806, episodic_return=[1722.6471]
global_step=364094, episodic_return=[738.1843]
global_step=365094, episodic_return=[2857.0662]
global_step=366025, episodic_return=[2456.8909]
global_step=366175, episodic_return=[350.72507]
global_step=367175, episodic_return=[2598.4065]
global_step=368122, episodic_return=[2605.6177]
global_step=369122, episodic_return=[2070.2917]
global_step=370122, episodic_return=[2878.4626]
global_step=370789, episodic_return=[1880.1105]
global_step=371789, episodic_return=[2841.8936]
global_step=372165, episodic_return=[1088.6284]
global_step=373165, episodic_return=[2777.7925]
global_step=374165, episodic_return=[2997.8728]
global_step=374939, episodic_return=[2317.8323]
global_step=375939, episodic_return=[3007.2634]
global_step=376939, episodic_return=[2600.335]
global_step=377939, episodic_return=[2793.4695]
global_step=378939, episodic_return=[2558.1377]
global_step=379939, episodic_return=[997.6505]
global_step=380939, episodic_return=[2289.3044]
global_step=381939, episodic_return=[2980.7273]
global_step=382939, episodic_return=[2986.8538]
global_step=383350, episodic_return=[1317.7019]
global_step=384350, episodic_return=[2827.478]
global_step=385231, episodic_return=[2615.2798]
global_step=386231, episodic_return=[3142.2405]
