/tmp/env/lib/python3.8/site-packages/wandb/sdk/lib/import_hooks.py:243: DeprecationWarning: Deprecated since Python 3.4. Use importlib.util.find_spec() instead.
  loader = importlib.find_loader(fullname, path)
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:164: UserWarning: [33mWARN: The obs returned by the `reset()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:188: UserWarning: [33mWARN: The obs returned by the `reset()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:164: UserWarning: [33mWARN: The obs returned by the `step()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:188: UserWarning: [33mWARN: The obs returned by the `step()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
global_step=11037, episodic_return=[357.36368]
SPS: 157
global_step=11163, episodic_return=[243.48164]
SPS: 156
global_step=11264, episodic_return=[168.24059]
SPS: 155
SPS: 154
global_step=11482, episodic_return=[365.0488]
SPS: 153
global_step=11550, episodic_return=[38.42312]
global_step=11600, episodic_return=[20.586645]
SPS: 152
SPS: 151
global_step=11704, episodic_return=[104.45402]
SPS: 151
global_step=11827, episodic_return=[158.2184]
SPS: 150
global_step=11918, episodic_return=[140.06897]
SPS: 149
global_step=12011, episodic_return=[115.16018]
SPS: 148
global_step=12173, episodic_return=[295.5694]
SPS: 147
global_step=12258, episodic_return=[176.99144]
SPS: 146
global_step=12342, episodic_return=[40.523792]
SPS: 146
global_step=12434, episodic_return=[48.258038]
SPS: 145
global_step=12517, episodic_return=[44.82016]
SPS: 144
global_step=12614, episodic_return=[44.675858]
SPS: 144
global_step=12709, episodic_return=[44.597908]
SPS: 143
global_step=12825, episodic_return=[54.633224]
SPS: 142
global_step=12917, episodic_return=[43.24233]
global_step=12986, episodic_return=[12.594524]
SPS: 142
global_step=13042, episodic_return=[22.260826]
SPS: 141
global_step=13181, episodic_return=[225.14825]
SPS: 140
global_step=13270, episodic_return=[172.81024]
SPS: 140
global_step=13327, episodic_return=[24.999245]
SPS: 139
global_step=13440, episodic_return=[62.402676]
SPS: 139
global_step=13555, episodic_return=[197.48604]
SPS: 138
global_step=13624, episodic_return=[123.593666]
SPS: 137
global_step=13752, episodic_return=[214.92235]
SPS: 137
global_step=13870, episodic_return=[172.28137]
SPS: 136
